loan_id,age,gender,region,employment_status,employment_length,employer_tenure_years,home_ownership,annual_income,stated_income,verified_income,credit_score,open_accounts,delinq_2yrs,inquiries_6m,util,revol_bal,dti,loan_amount,term,purpose,application_type,grade,sub_grade,interest_rate,ip_risk_score,device_change_30d,has_document_mismatch,income_mismatch_ratio,default,fraud,application_date,issue_date,first_payment_date,days_to_fund
15,21,Male,Marlborough,Part-time,1,7.5,Mortgage,21480.61,19749.81,21199.23,717,13,1,4,13.7,3448.42,26.66,25215.48,36,car,individual,C,C2,0.1448148129672071,12.1,1,0,0.93,0,0,2023-03-29,2023-04-05,2023-04-23,7
16,32,Female,Gisborne,Employed,4,6.9,Rent,106375.63,111054.66,109901.39,686,10,0,1,67.76,3683.55,25.05,10680.44,60,vacation,individual,D,D3,0.1916338842502659,31.4,2,0,1.01,0,0,2024-01-08,2024-01-19,2024-02-04,11
17,28,Male,Canterbury,Employed,21,6.1,Mortgage,33928.64,38640.47,36464.37,582,8,0,1,32.38,7737.76,16.1,11951.44,60,debt_consolidation,individual,F,F3,0.2629135202723351,55.0,2,0,1.06,0,0,2023-04-10,2023-04-20,2023-05-09,10
18,41,Female,Wellington,Employed,1,5.2,Other,23947.82,34449.21,23888.1,607,12,0,1,37.35,3980.58,26.76,11019.08,36,other,individual,F,F4,0.2774620554961604,43.5,0,0,1.44,0,0,2025-05-21,2025-06-04,2025-06-22,14
19,29,Female,Auckland,Employed,2,2.1,Rent,120311.55,94618.54,117884.81,644,17,0,1,18.95,2084.96,18.64,10685.93,60,home_improvement,individual,E,E1,0.2572572267675234,57.3,0,0,0.8,0,0,2024-10-25,2024-10-26,2024-11-25,1
20,24,Other/Prefer not to say,Gisborne,Unemployed,10,2.7,Own,35259.37,43122.08,37427.95,719,7,0,0,9.77,3856.9,5.48,9936.52,36,other,individual,C,C3,0.1776913689076539,20.6,2,0,1.15,0,0,2023-05-11,2023-05-13,2023-06-08,2
21,53,Female,Wellington,Employed,0,6.7,Own,40889.64,50038.48,45071.5,717,9,0,1,21.94,12945.72,25.47,30389.17,36,other,individual,C,C1,0.1574640769880132,23.9,1,0,1.11,0,0,2024-10-23,2024-11-05,2024-12-02,13
22,36,Male,Marlborough,Part-time,10,7.4,Own,212514.7,196014.43,234988.18,665,5,0,1,26.07,2986.41,9.89,32522.38,36,vacation,individual,D,D5,0.1817608414504243,38.0,1,0,0.83,0,0,2023-11-05,2023-11-09,2023-11-24,4
23,39,Female,Tasman,Employed,4,5.1,Rent,24011.82,28091.45,23562.18,822,10,0,0,13.7,10785.45,12.47,25056.75,36,education,individual,A,A2,0.0962548911466749,26.7,0,0,1.19,0,0,2025-02-08,2025-02-21,2025-03-19,13
24,24,Female,Hawke's Bay,Employed,3,4.1,Rent,30588.24,42171.62,30169.12,774,8,0,1,30.98,5451.45,17.82,5547.51,36,debt_consolidation,individual,B,B4,0.1265157734436283,46.0,0,0,1.4,0,0,2023-12-10,2023-12-14,2024-01-05,4
25,33,Male,Otago,Employed,2,2.8,Rent,49331.77,44250.88,46793.25,754,14,0,3,31.44,3040.21,21.27,11905.5,36,education,individual,B,B4,0.1267852116260201,29.0,0,0,0.95,0,0,2024-05-06,2024-05-11,2024-05-28,5
26,39,Male,Nelson,Employed,2,10.1,Mortgage,56274.03,61805.43,56606.19,722,15,0,0,53.08,2473.39,24.2,6892.09,36,debt_consolidation,individual,C,C5,0.1461309706113109,44.0,2,0,1.09,0,0,2024-02-18,2024-02-29,2024-03-30,11
27,26,Male,Bay of Plenty,Employed,2,4.9,Mortgage,38021.06,43000.31,35979.1,708,12,0,0,39.21,4616.67,4.27,14209.36,36,debt_consolidation,individual,C,C2,0.1450918477801929,49.5,0,0,1.2,0,0,2025-03-16,2025-03-18,2025-04-15,2
28,42,Male,Otago,Employed,11,3.8,Rent,32433.58,37520.33,31579.55,703,13,0,0,33.35,16742.73,21.71,21277.92,36,car,individual,C,C5,0.1483350982524018,48.5,4,0,1.19,0,0,2024-01-21,2024-01-25,2024-02-14,4
29,32,Male,Auckland,Unemployed,6,12.0,Mortgage,160835.78,193623.5,166474.12,572,6,0,1,42.59,3729.22,5.7,21500.93,36,small_business,individual,G,G5,0.3390414743079504,38.7,0,1,1.16,0,0,2023-07-11,2023-07-12,2023-07-30,1
30,35,Female,Taranaki,Employed,6,1.9,Rent,76109.95,82446.94,77594.01,617,5,0,0,36.75,1772.65,19.12,6302.62,36,small_business,individual,F,F5,0.2612226565718326,25.4,0,0,1.06,0,0,2023-10-04,2023-10-06,2023-10-29,2
31,32,Male,Auckland,Employed,8,3.6,Rent,92341.02,106440.32,83980.83,667,11,1,2,6.7,2269.55,17.64,43151.69,36,debt_consolidation,individual,D,D1,0.2143386478421811,48.8,0,0,1.27,0,0,2023-06-10,2023-06-11,2023-07-02,1
32,57,Male,Canterbury,Unemployed,1,0.0,Rent,59862.61,51943.1,64562.7,688,9,0,2,4.03,9134.96,0.93,5764.54,36,debt_consolidation,individual,D,D1,0.190156895220981,0.0,2,0,0.8,0,0,2024-04-04,2024-04-14,2024-05-07,10
33,38,Female,West Coast,Employed,5,3.6,Rent,77328.32,83731.16,73125.54,673,17,0,2,6.75,2460.53,35.52,14842.81,60,education,individual,D,D2,0.2020816450028603,22.3,0,0,1.15,0,0,2023-11-10,2023-11-20,2023-12-20,10
34,27,Female,Southland,Employed,3,12.3,Rent,113764.24,108614.33,108298.24,696,1,1,0,30.81,16951.1,1.97,29029.57,36,other,individual,D,D4,0.1917742641051945,11.4,3,0,1.0,0,0,2023-01-22,2023-02-04,2023-02-28,13
35,46,Female,Wellington,Employed,8,11.8,Rent,35752.06,28745.88,33537.36,554,11,0,0,33.08,11821.08,19.21,21123.27,36,debt_consolidation,individual,G,G1,0.3072201399986744,37.9,0,0,0.86,0,0,2023-09-10,2023-09-14,2023-10-01,4
36,26,Male,Gisborne,Employed,2,6.0,Own,76194.47,72245.39,73675.16,710,11,1,0,44.21,2174.79,15.62,16382.83,60,other,individual,C,C4,0.1742830748467033,31.1,1,0,0.98,0,0,2025-01-17,2025-01-21,2025-02-05,4
37,40,Female,Northland,Self-employed,5,5.3,Mortgage,98692.87,108946.2,94267.45,684,6,0,0,25.99,4122.51,15.95,15581.79,60,debt_consolidation,individual,D,D3,0.1835827352237274,58.7,0,0,1.16,0,0,2025-05-06,2025-05-13,2025-06-01,7
38,18,Female,Marlborough,Employed,11,3.0,Rent,164229.64,186755.29,157065.67,669,5,1,0,34.29,13099.5,3.6,8452.77,36,small_business,individual,D,D3,0.1951823059487675,21.0,2,0,1.19,0,0,2024-07-14,2024-07-24,2024-08-23,10
39,25,Male,Marlborough,Student,3,1.9,Mortgage,209164.67,166559.54,183392.74,736,8,1,1,29.24,3157.41,22.25,33970.62,36,education,individual,C,C2,0.1566129039725696,61.0,0,0,0.91,0,0,2024-04-19,2024-04-30,2024-05-17,11
40,40,Male,Manawatu-Whanganui,Part-time,0,8.7,Mortgage,67782.44,58459.96,68222.78,617,2,0,1,35.44,4578.5,36.88,11317.99,36,home_improvement,individual,F,F4,0.2650030687977392,25.2,0,0,0.86,0,0,2023-02-28,2023-03-11,2023-03-31,11
41,45,Female,Southland,Employed,4,3.2,Rent,128711.14,153800.96,130204.61,666,15,0,2,20.35,10596.37,17.2,4647.59,36,education,individual,D,D4,0.2083188747700454,46.6,1,1,1.18,0,0,2024-05-25,2024-06-03,2024-06-25,9
42,40,Female,Gisborne,Part-time,2,3.4,Mortgage,18000.0,20729.33,20019.97,697,20,0,1,17.26,17485.43,20.15,10415.2,36,small_business,individual,D,D1,0.2180673116847132,43.2,0,0,1.04,0,0,2024-11-12,2024-11-21,2024-12-16,9
43,37,Other/Prefer not to say,Southland,Employed,6,1.8,Mortgage,164968.91,202486.23,168980.47,629,8,0,0,36.41,8125.46,17.39,14439.51,36,car,individual,E,E4,0.2387817863569544,43.9,1,0,1.2,0,0,2024-04-20,2024-04-25,2024-05-22,5
44,35,Female,Manawatu-Whanganui,Employed,15,6.9,Mortgage,42049.9,55655.82,41005.82,560,6,0,0,50.05,5136.49,25.37,15990.85,36,debt_consolidation,joint,G,G2,0.334292089423307,22.5,1,0,1.36,0,0,2024-11-30,2024-12-10,2024-12-28,10
45,23,Female,Southland,Employed,3,5.8,Mortgage,56245.66,65108.71,52868.91,611,4,0,0,12.34,3209.87,25.74,22554.29,36,education,individual,F,F5,0.2962922711913498,50.0,0,0,1.23,0,0,2025-02-21,2025-02-22,2025-03-13,1
46,31,Female,Northland,Employed,3,4.0,Mortgage,84694.44,81902.78,84286.74,676,5,2,1,24.5,1440.55,7.19,26937.09,36,education,individual,D,D2,0.1964371771828355,36.0,0,0,0.97,0,0,2023-07-09,2023-07-10,2023-07-29,1
47,33,Male,Tasman,Self-employed,5,7.4,Rent,59282.96,63608.83,60613.04,665,7,0,0,30.77,3407.35,10.03,5794.35,36,education,individual,D,D3,0.195923360463281,10.5,3,0,1.05,0,0,2024-11-17,2024-11-23,2024-12-11,6
48,49,Male,Taranaki,Employed,1,5.3,Own,73131.51,101066.24,71290.98,679,14,0,1,31.9,3449.91,11.5,10524.83,60,education,individual,D,D5,0.2007222813990555,31.0,1,0,1.42,0,0,2024-07-16,2024-07-18,2024-08-05,2
49,41,Male,Manawatu-Whanganui,Student,1,2.9,Rent,168511.34,270105.11,169025.43,640,22,0,3,4.81,8443.11,18.89,8043.18,36,vacation,individual,E,E2,0.2325022906913806,72.4,2,0,1.6,0,0,2025-05-25,2025-06-02,2025-06-20,8
50,20,Female,Taranaki,Unemployed,13,6.8,Own,51617.22,58978.83,56514.03,601,6,0,0,19.77,3856.72,25.76,18685.13,60,debt_consolidation,individual,F,F2,0.2620766161234696,12.2,0,0,1.04,0,0,2024-07-20,2024-08-02,2024-08-20,13
51,41,Female,Waikato,Employed,6,7.9,Rent,33859.95,39179.71,33209.65,688,5,1,1,4.71,4611.17,0.0,10342.76,60,other,individual,D,D1,0.2108641485537697,0.0,1,0,1.18,0,0,2023-09-01,2023-09-10,2023-09-28,9
52,34,Female,Canterbury,Unemployed,0,0.0,Rent,192956.66,230610.55,174753.36,670,4,0,0,7.97,15582.47,21.56,23519.94,36,debt_consolidation,individual,D,D4,0.1829297763728403,31.9,0,0,1.32,0,0,2025-04-11,2025-04-24,2025-05-13,13
53,31,Male,Southland,Part-time,1,3.7,Mortgage,89161.19,94043.53,93055.25,718,11,0,0,15.61,4748.69,30.43,8674.8,60,debt_consolidation,individual,C,C4,0.1432176715253003,41.9,0,0,1.01,0,0,2024-05-19,2024-05-23,2024-06-08,4
54,44,Female,Gisborne,Employed,6,0.6,Rent,205970.03,264212.34,209207.07,635,10,0,1,26.02,2756.83,15.25,19403.16,36,small_business,individual,E,E3,0.2505096777479635,89.4,0,0,1.26,0,0,2023-05-11,2023-05-16,2023-06-01,5
55,48,Male,Bay of Plenty,Employed,7,10.7,Own,109132.77,136591.56,99807.42,559,9,0,3,36.37,1553.03,17.36,10454.6,36,debt_consolidation,individual,G,G1,0.324191718700424,35.0,1,0,1.37,0,0,2024-04-29,2024-05-10,2024-06-09,11
56,47,Male,Wellington,Employed,9,1.3,Rent,29377.55,32928.57,30005.71,524,7,1,0,20.16,3004.83,25.86,35872.39,36,home_improvement,individual,G,G3,0.3166933251979013,24.7,1,0,1.1,0,0,2025-03-29,2025-04-06,2025-04-29,8
57,30,Female,Southland,Employed,2,6.4,Mortgage,95738.27,94435.85,90961.58,656,14,0,3,4.73,1914.86,24.12,15568.89,36,small_business,individual,E,E4,0.2518903569813383,24.9,1,1,1.04,0,0,2024-10-08,2024-10-11,2024-10-27,3
58,35,Female,Wellington,Employed,13,5.1,Rent,36017.99,26864.4,36812.77,688,12,0,0,41.89,2666.1,15.22,4724.67,36,medical,individual,D,D5,0.1952126726131922,31.1,0,0,0.73,0,0,2023-01-21,2023-01-26,2023-02-15,5
59,41,Other/Prefer not to say,Southland,Employed,4,9.1,Rent,65290.49,78118.94,71516.8,666,12,0,0,27.12,57136.2,21.26,16362.41,36,medical,individual,D,D3,0.203294887749434,31.0,4,0,1.09,0,0,2025-04-20,2025-04-23,2025-05-09,3
60,48,Male,Bay of Plenty,Self-employed,6,8.9,Rent,62113.21,67863.13,61563.6,646,10,0,3,34.06,3526.26,0.0,6636.58,36,vacation,individual,E,E3,0.2378503236236483,47.9,4,0,1.1,0,0,2023-06-16,2023-06-28,2023-07-17,12
61,33,Female,Auckland,Self-employed,5,6.3,Mortgage,24625.66,22223.34,25959.47,585,8,0,2,21.01,6121.82,21.09,31412.64,36,other,individual,F,F2,0.2748037433920936,52.0,1,0,0.86,0,0,2023-10-01,2023-10-11,2023-10-29,10
62,36,Male,Tasman,Employed,1,2.9,Mortgage,39912.96,32888.92,37461.33,567,6,0,1,44.15,26569.42,18.15,14023.29,60,debt_consolidation,joint,G,G3,0.3252098353870079,58.9,0,0,0.88,0,0,2024-01-23,2024-01-26,2024-02-25,3
63,27,Male,West Coast,Employed,16,1.1,Mortgage,244080.88,288573.55,225537.82,702,11,0,1,9.12,1844.43,30.91,15533.08,60,education,individual,C,C3,0.1704934582795504,28.9,1,0,1.28,0,0,2024-08-23,2024-08-26,2024-09-21,3
64,26,Female,Auckland,Employed,1,4.6,Other,74994.42,54727.38,82559.0,666,11,1,1,43.07,6408.87,31.15,4604.83,36,car,individual,D,D5,0.1924518633272927,58.9,1,0,0.66,0,0,2023-11-12,2023-11-25,2023-12-16,13
65,46,Female,Otago,Employed,1,1.8,Mortgage,58500.17,64930.99,59400.53,658,11,1,1,37.97,12233.96,16.65,13537.27,36,home_improvement,individual,E,E2,0.2572665907041895,64.4,0,0,1.09,0,0,2023-01-14,2023-01-26,2023-02-24,12
66,52,Female,Auckland,Employed,8,2.5,Own,192890.26,235077.3,199030.63,587,3,0,0,14.66,6101.74,28.77,4616.7,36,other,individual,F,F5,0.2871720528432426,25.2,1,0,1.18,0,0,2023-08-30,2023-09-06,2023-09-27,7
67,37,Male,Taranaki,Part-time,5,10.6,Rent,51246.44,59444.77,54198.29,622,10,1,0,17.71,3038.79,11.99,19902.35,60,medical,individual,E,E2,0.2201778889858943,80.7,1,0,1.1,0,0,2025-02-15,2025-02-22,2025-03-21,7
68,48,Female,Northland,Employed,9,7.9,Rent,61530.63,59798.67,59906.79,683,8,0,2,55.34,7345.18,18.08,12142.3,60,vacation,individual,D,D4,0.1832107828964136,35.0,0,0,1.0,0,0,2023-12-12,2023-12-19,2024-01-08,7
69,42,Male,Waikato,Employed,4,7.6,Rent,117785.95,94243.5,122645.31,697,5,1,1,28.02,2027.2,28.26,14979.62,60,medical,individual,D,D4,0.2163416452017593,29.5,1,0,0.77,0,0,2024-07-18,2024-07-28,2024-08-21,10
70,32,Female,West Coast,Employed,2,0.0,Rent,51108.24,59663.96,52829.42,670,12,0,1,43.54,3775.02,19.76,17376.49,36,small_business,individual,D,D3,0.1845760070608632,67.9,1,0,1.13,0,0,2025-06-16,2025-06-24,2025-07-13,8
71,42,Male,Bay of Plenty,Student,13,1.2,Mortgage,41532.44,53581.19,38843.62,763,10,0,0,28.83,1067.0,23.3,22260.55,60,other,individual,B,B4,0.1348450400031768,48.2,4,0,1.38,0,0,2023-12-06,2023-12-11,2023-12-26,5
72,53,Male,Taranaki,Unemployed,0,5.5,Mortgage,18000.0,16838.16,19361.69,645,18,1,1,59.4,7620.43,18.11,28554.11,60,medical,individual,E,E5,0.2580257302069623,58.4,0,0,0.87,0,0,2023-04-02,2023-04-07,2023-05-07,5
73,38,Female,Taranaki,Employed,10,4.6,Mortgage,37058.15,42668.07,39479.64,757,11,1,1,66.05,13673.42,12.87,12558.39,36,home_improvement,individual,B,B5,0.1215222224755723,39.9,0,0,1.08,0,0,2024-01-02,2024-01-16,2024-02-11,14
74,54,Female,Otago,Employed,1,4.0,Mortgage,36846.87,50343.99,34481.82,693,8,0,2,59.9,9189.03,16.37,12689.85,60,other,individual,D,D5,0.1867569598890571,60.2,0,0,1.46,0,0,2024-03-30,2024-04-03,2024-05-02,4
75,18,Male,Taranaki,Employed,9,3.0,Own,71487.83,79906.91,72203.73,686,9,0,1,49.95,7921.9,13.84,32114.47,36,other,individual,D,D5,0.1968355748786461,48.4,0,0,1.11,0,0,2024-03-03,2024-03-10,2024-03-27,7
76,46,Male,Marlborough,Employed,1,8.4,Own,45065.29,43741.45,44544.61,736,4,1,1,20.45,4410.77,14.07,28319.64,36,small_business,individual,C,C1,0.1722414270868178,11.8,0,1,0.98,0,0,2024-05-23,2024-06-02,2024-06-25,10
77,39,Female,Marlborough,Part-time,4,2.5,Rent,237269.99,298526.15,254096.08,643,14,0,1,17.3,2785.08,28.69,22817.19,36,other,individual,E,E2,0.2541234494159591,24.1,0,0,1.17,0,0,2025-02-14,2025-02-18,2025-03-19,4
78,35,Male,Canterbury,Self-employed,11,6.0,Rent,34460.37,31100.06,32029.86,660,10,2,1,9.87,1278.06,11.4,17901.38,60,small_business,individual,D,D4,0.1991773255963414,18.3,0,0,0.97,0,0,2023-02-04,2023-02-06,2023-03-06,2
79,39,Male,Auckland,Self-employed,3,0.6,Rent,150622.29,119046.07,177752.49,607,10,0,2,9.05,2051.07,8.05,39504.02,36,education,individual,F,F2,0.2922588718943865,21.6,1,0,0.67,0,0,2023-07-25,2023-07-29,2023-08-13,4
80,18,Male,Tasman,Employed,7,7.7,Rent,74161.05,89917.62,73514.05,736,5,0,1,7.48,2304.08,33.36,9732.78,60,vacation,individual,C,C4,0.172654637262423,72.3,2,1,1.22,0,0,2023-03-22,2023-04-04,2023-04-23,13
81,36,Male,Tasman,Employed,8,2.7,Mortgage,105472.65,102178.48,109366.94,700,12,0,2,20.28,6566.21,17.07,29156.5,60,vacation,joint,C,C1,0.1445598113024683,55.2,3,0,0.93,0,0,2024-07-15,2024-07-28,2024-08-13,13
82,42,Female,Wellington,Unemployed,7,0.8,Mortgage,101697.12,100344.12,108752.35,746,5,1,2,30.68,12883.86,27.68,8424.61,36,home_improvement,individual,B,B1,0.132213064448813,28.0,0,0,0.92,0,1,2025-05-21,2025-05-29,2025-06-16,8
83,53,Female,Nelson,Employed,13,1.0,Rent,18000.0,16643.01,17823.6,692,7,0,1,17.92,5383.45,29.75,7332.35,60,education,individual,D,D3,0.2107216588546112,49.6,0,0,0.93,0,0,2024-01-23,2024-02-01,2024-03-02,9
84,33,Female,Marlborough,Part-time,3,6.6,Mortgage,64551.0,61674.38,64180.02,746,10,0,1,15.82,4044.32,19.57,70000.0,36,debt_consolidation,individual,B,B1,0.1102371088342907,45.0,1,0,0.96,0,0,2023-01-02,2023-01-05,2023-02-02,3
85,30,Other/Prefer not to say,Canterbury,Employed,1,9.9,Mortgage,55537.05,73897.97,54140.76,635,7,0,2,7.32,22862.71,25.55,33234.46,36,education,individual,E,E2,0.2239697572233941,29.1,0,0,1.36,0,0,2024-01-25,2024-02-01,2024-02-29,7
86,33,Male,Waikato,Employed,0,1.1,Rent,32937.12,45535.56,31478.89,739,6,1,3,9.01,7158.84,14.27,13010.41,36,vacation,individual,C,C2,0.1493675654504992,40.3,2,0,1.45,0,0,2024-07-19,2024-08-02,2024-08-27,14
87,47,Male,Marlborough,Self-employed,1,5.3,Rent,85640.89,120667.65,86805.0,656,9,0,0,67.8,1287.58,9.31,3679.14,36,car,joint,E,E2,0.2320331001915456,39.1,0,0,1.39,0,0,2023-04-16,2023-04-28,2023-05-13,12
88,41,Male,Waikato,Employed,1,5.4,Own,182055.48,230850.74,180824.18,680,13,0,1,17.85,4201.94,20.38,4760.3,60,education,individual,D,D5,0.1827896451443613,48.6,0,0,1.28,0,0,2025-02-10,2025-02-24,2025-03-13,14
89,33,Male,Waikato,Employed,4,0.0,Mortgage,18000.0,20578.58,17541.56,724,13,0,5,11.11,3019.0,34.26,22320.87,36,vacation,individual,C,C3,0.168448670792384,25.9,0,0,1.17,0,0,2025-04-01,2025-04-10,2025-05-04,9
90,43,Male,Gisborne,Employed,1,5.0,Rent,47167.52,36014.42,46103.98,820,12,1,0,20.0,928.37,4.37,24681.98,36,vacation,joint,A,A5,0.0910996117648274,15.2,0,0,0.78,0,0,2024-04-21,2024-05-02,2024-05-23,11
91,39,Female,Auckland,Unemployed,0,1.7,Rent,30781.92,31166.54,31668.8,729,11,0,0,10.83,12406.74,23.33,17135.2,36,other,individual,C,C4,0.1584844583562098,0.0,1,0,0.98,0,0,2024-12-03,2024-12-07,2024-12-31,4
92,48,Female,Taranaki,Employed,0,4.3,Rent,67860.49,100525.2,65154.34,735,7,0,0,26.07,5337.45,14.67,20701.06,36,other,individual,C,C4,0.1643487885461228,42.7,0,1,1.54,0,0,2024-02-06,2024-02-16,2024-03-16,10
93,31,Male,Waikato,Employed,9,3.0,Rent,53464.32,51479.49,52804.13,647,13,0,1,23.9,22896.49,3.79,1921.92,36,other,individual,E,E5,0.2304424297812473,37.5,1,0,0.97,0,0,2024-12-30,2025-01-02,2025-01-19,3
94,35,Female,Bay of Plenty,Self-employed,4,8.6,Own,45194.75,61140.76,47225.5,689,2,2,0,37.95,12529.41,17.44,14603.42,60,medical,individual,D,D4,0.2152490009986994,80.7,1,0,1.29,0,0,2024-07-09,2024-07-14,2024-08-01,5
95,34,Female,Wellington,Employed,2,7.0,Rent,98306.62,104304.03,99521.82,674,11,0,2,13.99,2642.86,14.13,33620.38,36,home_improvement,individual,D,D5,0.1877585838719368,52.0,0,0,1.05,0,0,2023-06-11,2023-06-12,2023-06-28,1
96,23,Female,Taranaki,Part-time,11,5.8,Rent,173485.85,89236.18,164381.67,764,12,1,0,33.21,7093.42,12.27,13369.11,60,vacation,individual,B,B2,0.1392510868821324,30.9,0,0,0.54,0,0,2023-07-21,2023-07-24,2023-08-10,3
97,41,Female,Otago,Employed,0,0.0,Rent,300000.0,353429.13,299641.93,671,9,1,1,16.77,6781.89,17.88,30142.87,36,home_improvement,individual,D,D4,0.2190348112205264,41.1,5,0,1.18,0,0,2023-09-27,2023-10-05,2023-10-28,8
98,41,Female,Auckland,Unemployed,20,6.7,Mortgage,41704.53,54351.47,42615.82,760,6,1,2,69.01,4219.72,17.77,57799.89,36,education,individual,B,B4,0.1151013340849441,56.1,1,0,1.28,0,0,2025-05-12,2025-05-23,2025-06-09,11
99,38,Female,Northland,Employed,5,6.6,Rent,21798.95,22675.29,22877.2,602,9,0,1,73.17,867.89,0.0,10958.38,36,home_improvement,individual,F,F2,0.2768685934340953,33.9,0,0,0.99,0,1,2025-03-26,2025-04-03,2025-04-28,8
100,36,Female,Nelson,Unemployed,1,5.7,Rent,90913.19,117878.97,87479.5,764,6,0,3,29.41,9531.99,32.19,25455.27,60,car,individual,B,B5,0.1183581451015369,19.3,1,1,1.35,0,0,2023-09-28,2023-10-11,2023-10-30,13
101,24,Female,Canterbury,Unemployed,6,7.3,Mortgage,170831.57,122389.63,166060.84,628,11,0,0,24.35,955.86,30.12,11742.1,36,debt_consolidation,individual,E,E2,0.2431211967039468,9.3,1,0,0.74,0,0,2024-03-31,2024-04-04,2024-04-20,4
102,34,Male,Hawke's Bay,Part-time,7,7.5,Rent,105911.23,81857.43,102229.97,731,13,0,2,21.27,1322.77,30.84,12939.69,36,other,individual,C,C2,0.1439497883426263,58.0,1,0,0.8,0,0,2024-04-06,2024-04-08,2024-05-08,2
103,35,Male,Canterbury,Employed,3,7.0,Rent,170407.99,185910.49,164907.9,628,11,0,1,6.78,5988.33,18.23,22573.65,36,debt_consolidation,individual,E,E1,0.2241237974845052,60.2,1,0,1.13,0,0,2024-12-27,2025-01-09,2025-01-27,13
104,30,Female,Tasman,Employed,10,11.3,Rent,56774.95,65031.33,57924.66,717,11,0,0,47.07,1790.58,19.19,14544.77,36,home_improvement,individual,C,C5,0.1738147756763015,24.7,0,0,1.12,0,0,2023-09-09,2023-09-17,2023-10-13,8
